time_s,r_sc_x,r_sc_y,r_sc_z,v_sc_x,v_sc_y,v_sc_z,r_lv_x,r_lv_y,r_lv_z,v_lv_x,v_lv_y,v_lv_z,relative_distance_m,relative_speed_mps,spring_force_N
0.26000000000000006,5737060.689359778,-936492.0555656733,3290924.0797884767,-3437.3349020159435,2125.3144853774947,6597.109578474515,5737060.765359471,-936492.1025765933,3290923.933815958,-3437.1479445605487,2125.1988396229367,6596.750489518435,0.17115477252682817,0.4210367074896033,1465.3568241951546
0.2700000000000001,5737026.315616959,-936470.8023518973,3290990.050683788,-3437.413631204394,2125.328250921183,6597.069425123093,5737026.393505445,-936470.8505311629,3290989.9010834666,-3437.2228874735565,2125.2102631007015,6596.703063872379,0.1754084206935232,0.42956357231582654,1337.7473791943044
0.2800000000000001,5736991.94108777,-936449.5490010364,3291056.021175795,-3437.4921753705075,2125.341902016253,6597.028916400232,5736992.020901177,-936449.5983709951,3291055.867878279,-3437.2979933966785,2125.2217874113007,6596.655951320313,0.1797434310673119,0.43730665227315085,1207.6970679806434
0.2900000000000001,5736957.565774079,-936428.2955142454,3291121.9912609104,-3437.570531187459,2125.355436604838,6596.988045916102,5736957.647545023,-936428.3460950725,3291121.8342035557,-3437.3732652765125,2125.233414377413,6596.6091575218115,0.1841518936248988,0.4442518192821639,1075.4431912530358
0.3000000000000001,5736923.189677784,-936407.0418926988,3291187.9609354883,-3437.6486956712483,2125.3688528411385,6596.946807939352,5736923.2734353095,-936407.0937023599,3291187.8000625093,-3437.44870575601,2125.2451456338863,6596.562687553225,0.188625765550494,0.4503864011726247,941.2270334851796
0.3100000000000001,5736888.812800813,-936385.7881375885,3291253.9301958275,-3437.7266661861017,2125.382149094741,6596.905197407447,5736888.898570338,-936385.8411918073,3291253.7654584013,-3437.5243171696934,2125.2569826247977,6596.516545898524,0.19315688252470448,0.4556992045505289,805.2935242588658
0.3200000000000001,5736854.435146062,-936364.5342507071,3291319.899036362,-3437.80398209605,2125.3950404313446,6596.8623295774905,5736854.522947551,-936364.5885618322,3291319.730396145,-3437.6005075094026,2125.269177720525,6596.471516187142,0.19773295757742773,0.45823404005155033,0.0
0.32987587405098845,5736820.483452793,-936343.5440559145,3291385.048603215,-3437.8797483787907,2125.407406837989,6596.818860759714,5736820.573263772,-936343.5996100438,3291384.876103374,-3437.6762737933186,2125.2815441278954,6596.428047371616,0.20225841929279853,0.4582340374106177,0.0
0.33987587405098846,5736786.104271718,-936322.2899192381,3291451.016571743,-3437.956466481031,2125.4199283906337,6596.774844722871,5736786.196117443,-936322.3467319945,3291450.8401637683,-3437.752991896776,2125.2940656812916,6596.384031337106,0.2068407599547443,0.4582340346747508,0.0
0.34987587405098847,5736751.724323465,-936301.0356573475,3291516.984100106,-3438.033184123511,2125.432449659046,6596.730827803846,5736751.818203935,-936301.0937287312,3291516.803783998,-3437.829709540501,2125.3065869504726,6596.340014420464,0.21142310021954216,0.45823403187793316,0.0
